POM,XXS,XS,S,M,L,XL,2X,3X,4X
1,185.0,197.0,209.0,222.0,234.0,246.0,224.0,237.0,250.0
2,194.0,207.0,221.0,235.0,249.0,263.0,242.0,258.0,274.0

